code accident;date;heure;d‚partement;commune;massif;site;latitude;longitude;altitude;inclinaison;orientation;groupe;emport‚s;"ensevelis 
tˆte";"ensevelis 
total";"ensevelis partiels 
critiques";"ensevelis partiels 
non critiques";d‚c‚d‚s;bless‚es;indemnes;activit‚;"engin 
progression";‚volution;BRA;"qualit‚ 
neige";"coh‚sion
neige";"type 
d‚part";cause d‚part;"d‚nivel‚
(mŠtres)";"largeur 
cassure
(mŠtres)";"‚paisseur
cassure max.  
(cm)";;;
1516-74-07;27/02/2016;10:15;74;chamonix;mont blanc;lac du br‚vent;45.933421371607196;6.82563079264952;2100;30-34;SO;1;1;1;1;0;0;1;0;0;randonn‚e;ski;descente;3;sŠche;dure;lin‚aire;accidentelle soi-mˆme;100;75;;;;
1516-74-08;27/02/2016;11:10;74;la clusaz;aravis;combe de la grande forclaz;45.93390980591135;6.521299810058128;1980;35-39;NO;3;1;1;1;0;0;0;0;1;randonn‚e;ski;descente;;sŠche;dure;lin‚aire;accidentelle soi-mˆme;90;30;40;;;
1516-74-10;09/03/2016;;74;le petit bornand des gliŠres;aravis;pointe de sosay;;;;;;3;2;1;1;0;0;1;0;1;randonn‚e;ski;;3;sŠche;;lin‚aire;accidentelle soi-mˆme;;;150;;;
1516-74-09;27/02/2016;13:45;74;sixt fer … cheval;chablais;couloir du lion;46.02083578296514;6.824246394136527;1750;35-39;SE;1;1;0;0;0;1;0;1;0;randonn‚e;… pieds;mont‚e;3;sŠche;tendre;lin‚aire;naturelle;100;20;200;;;
1516-88-01;03/03/2016;13:45;88;saint maurice sur moselle;ballon d'alsace;belvedere de birken;47.4926;6.5046;1225;>45;E;2;1;0;0;0;1;0;1;0;randonn‚e;ski;travers‚e;;humide;;lin‚aire;accidentelle soi-mˆme;200;50;;;;
1516-74-11;20/06/2016;11:30;74;chamonix;mont blanc;tacul;45.86139073502624;6.885176834040952;4020;30-34;NO;2;3;1;0;1;2;1;2;0;alpinisme;… pieds;descente;;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;1200;60;80;;;
1415-05-01;31/12/2014;12:50;05;le monetier les bains;thabor;secteur col du galibier;45.3353;6.23564;2750;30-34;E;4;1;1;1;0;0;1;0;0;randonn‚e;ski;travers‚e;3;sŠche;dure;lin‚aire;accidentelle soi-mˆme;100;100;70;;;
1415-05-02;18/01/2015;13:00;05;puy saint vincent;pelvoux;col du bal;;;2400;;NE;3;3;2;2;0;0;0;2;1;hors-piste;ski;descente;4;sŠche;;lin‚aire;accidentelle soi-mˆme;300;;;;;
1415-05-03;21/01/2015;09:55;05;puy saint vincent;pelvoux;couloir des faveyrettes;44.48371;6.27305;2350;35-39;NO;2;2;1;0;1;1;2;0;0;hors-piste;ski;descente;3;sŠche;dure;lin‚aire;accidentelle soi-mˆme;400;15;100;;;
1415-05-04;24/01/2015;11:40;05;ceillac;queyras;combe du bachas;44.38168;6.45597;2770;35-39;NE;6;6;6;6;0;0;6;0;0;randonn‚e;ski;descente;3;sŠche;dure;lin‚aire;accidentelle soi-mˆme;450;200;80;;;
1415-05-05;06/02/2015;;05;le monetier les bains;thabor;ruisseau rif blanc;;;;;;3;1;0;0;0;0;0;1;0;randonn‚e;ski;;;;;;;;;;;;
1415-05-06;08/02/2015;13:30;05;molines en queyras;queyras;route col agnel;44.41530;6.56558;2340;30-34;SO;1;1;1;1;0;0;1;0;0;randonn‚e;raquettes;travers‚e;4;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;50;120;120;;;
1415-05-07;09/02/2015;10:45;05;cerviŠres;queyras;col de chaudemaison;;;2400;30-34;O;3;1;1;1;0;0;1;0;0;randonn‚e;ski;travers‚e;4;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;100;40;50;;;
1415-05-08;14/02/2015;16:00;05;le monetier les bains;pelvoux;source des fraches;;;2200;>45;NO;1;1;0;0;0;1;0;1;0;hors-piste;ski;descente;3;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;240;2;15;;;
1415-05-09;16/02/2015;;05;cerviŠres;queyras;col perdu;44.49172;6.44304;2550;35-39;NO;2;2;2;2;0;0;2;0;0;randonn‚e;raquettes;descente;3;sŠche;dure;lin‚aire;accidentelle soi-mˆme;200;70;70;;;
1415-05-10;01/04/2015;14:45;05;pelvoux;pelvoux;col emile pic;44.57168;6.23123;3420;>45;SE;14;12;6;4;2;2;3;2;7;randonn‚e;ski;arrˆt;;sŠche;dure;lin‚aire;accidentelle soi-mˆme;360;200;350;;;
1415-05-11;28/04/2015;;05;le monetier les bains;pelvoux;couloir davin;;;3000;40-44;N;1;1;0;0;0;0;1;0;0;alpinisme;… pieds;mont‚e;;sŠche;;lin‚aire;;800;100;;;;
